customer_id,customer_age,account_age_days,total_purchases,avg_order_value,days_since_last_purchase,website_visits,email_open_rate,support_tickets,product_categories_browsed,avg_session_duration_min,loyalty_program,discount_usage,review_count,payment_failures,return_rate,mobile_usage_pct,channel,churned
7590-VHVEG,35,30,0.0,59.7,172,3,65,4,1.0,12.685849286715344,0,0,0.0,1,9.8,25,web,0
5575-GNVDE,35,1020,11.0,113.9,106,102,35,0,8.5,22.062400873860575,1,3,6.0,0,3.2,75,web,0
3668-QPYBK,35,60,1.0,107.7,170,6,65,1,1.0,19.09037591952654,0,0,0.0,0,9.6,75,web,1
7795-CFOCW,35,1350,15.0,84.6,84,135,35,0,10.0,10.345732480594624,1,1,8.0,0,1.0,25,web,0
9237-HQITU,35,60,1.0,141.4,170,6,65,3,1.0,12.94359124539076,0,0,0.0,1,9.6,75,app,1
9305-CDSKC,35,240,3.0,199.3,158,24,65,3,2.0,19.390228084964516,0,0,1.0,0,8.4,75,app,1
1452-KIOVK,35,660,7.0,178.2,130,66,65,0,5.5,39.931765564274734,0,0,4.0,0,5.6,75,app,0
6713-OKOMC,35,300,3.0,59.5,154,30,35,1,2.5,23.664989511317998,0,0,2.0,0,8.0,25,web,0
7892-POOKP,35,840,9.0,209.6,118,84,65,0,7.0,14.354035561653285,0,0,5.0,2,4.4,75,app,1
6388-TABGU,35,1860,21.0,112.3,50,186,35,0,10.0,29.4452070248949,1,2,10.0,0,0.0,75,web,0
9763-GRSKD,35,390,4.0,99.9,148,39,65,0,3.25,13.7973955095084,0,0,2.0,0,7.4,75,web,0
7469-LKBCI,35,480,5.0,37.9,142,48,35,0,4.0,16.0906582307192,1,2,3.0,0,6.8,75,mobile,0
8091-TTVAX,35,1740,19.0,200.7,58,174,35,0,10.0,29.153660994806785,1,1,10.0,0,0.0,75,app,0
0280-XJGEX,35,1470,16.0,207.4,76,147,65,0,10.0,13.762848665282565,0,0,8.0,0,0.1999999999999993,75,app,1
5129-JLPIS,35,750,8.0,211.0,124,75,65,0,6.25,30.694162663753357,0,0,4.0,0,5.0,75,app,0
3655-SNQYZ,35,2070,23.0,226.5,36,200,35,0,10.0,9.391788114760237,1,1,10.0,0,0.0,75,app,0
8191-XWSZG,35,1560,17.0,41.3,70,156,35,0,10.0,22.337487308373706,1,1,9.0,0,0.0,75,mobile,0
9959-WOFKT,35,2130,24.0,213.4,32,200,35,0,10.0,20.776280829457832,1,0,10.0,0,0.0,75,app,0
4190-MFLUW,35,300,3.0,110.4,154,30,35,2,2.5,26.17924003385647,0,0,2.0,0,8.0,75,web,1
4183-MYFRB,35,630,7.0,180.1,132,63,65,0,5.25,20.468353457368103,0,0,4.0,3,5.8,75,app,0
8779-QRDMV,65,30,0.0,79.3,172,3,65,1,1.0,20.958968941584452,0,0,0.0,5,9.8,25,web,1
1680-VDCWW,35,360,4.0,39.6,150,36,35,1,3.0,15.719018943938858,1,6,2.0,0,7.6,75,mobile,0
1066-JKSGK,35,30,0.0,40.3,172,3,35,2,1.0,17.949779459395558,0,0,0.0,0,9.8,75,mobile,1
3638-WEABW,35,1740,19.0,119.8,58,174,65,0,10.0,29.731433364439066,1,7,10.0,0,0.0,75,web,0
6322-HRPFA,35,1470,16.0,119.2,76,147,35,0,10.0,22.170911527119518,0,0,8.0,0,0.1999999999999993,75,web,0
6865-JZNKO,35,900,10.0,110.6,114,90,65,0,7.5,23.45116055894413,0,0,5.0,0,4.0,75,web,0
6467-CHFZW,35,1410,16.0,198.7,80,141,65,0,10.0,21.02121739494228,0,0,8.0,0,0.5999999999999996,75,app,1
8665-UTDHZ,35,30,0.0,60.4,172,3,35,2,1.0,18.382128187350634,0,0,0.0,3,9.8,25,web,1
5248-YGIJN,35,2160,24.0,180.5,30,200,65,0,10.0,10.533861897747249,1,2,10.0,0,0.0,75,web,0
8773-HHUOZ,35,510,6.0,129.4,140,51,65,0,4.25,28.032768118431378,0,0,3.0,0,6.6,75,web,1
3841-NFECX,65,2130,24.0,192.7,32,200,65,0,10.0,24.19640055449161,1,1,10.0,0,0.0,75,app,0
4929-XIHVW,65,60,1.0,191.0,170,6,65,1,1.0,19.716118513449164,0,0,0.0,0,9.6,75,app,0
6827-IEAUQ,35,810,9.0,132.3,120,81,35,0,6.75,14.90716647735752,1,3,4.0,0,4.6,75,web,0
7310-EGVHZ,35,30,0.0,40.4,172,3,35,0,1.0,24.826519707270787,0,0,0.0,0,9.8,75,mobile,0
3413-BMNZE,65,30,0.0,90.5,172,3,35,4,1.0,14.544005599701782,0,0,0.0,0,9.8,75,web,0
6234-RAAPL,35,2160,24.0,199.8,30,200,35,0,10.0,23.609178693599173,1,5,10.0,0,0.0,75,app,0
